calorien,dichtheid,gedronken,is_belgisch,is_speciaal,pct_alcohol,pct_eiwitten,pct_gist,pct_hop,recensie,suiker,water_kw,zuur,beoordeling
20.0,0.9965,6.0,1.0,0.0,9.1,12.5,1.6,8.0,4.3,4.6,0.57,0.57,7.0
105.0,0.9921,30.0,0.0,1.0,6.6,11.8,0.58,4.4,3.7,5.5,0.47,0.36,7.0
93.0,0.9905,12.0,1.0,1.0,6.6,12.8,0.58,7.2,3.6,6.1,0.27,0.28,8.0
163.0,0.9928,46.0,0.0,1.0,7.0,12.2,0.78,9.2,3.8,6.2,0.35,0.39,8.0
76.0,0.9908,26.0,1.0,1.0,7.6,12.3,0.66,4.0,2.0,4.8,0.49,0.26,8.0
165.0,0.9945,38.0,1.0,1.0,6.8,9.1,1.32,10.2,3.7,4.2,0.42,0.3,6.0
168.0,0.9914,42.0,0.0,1.0,6.0,11.1,1.1,5.8,4.7,1.3,0.43,0.21,7.0
197.0,0.9956,48.0,0.0,1.0,6.7,9.5,1.04,5.2,3.6,8.1,0.48,0.49,6.0
44.0,0.9953,24.0,1.0,0.0,7.2,11.0,1.48,7.2,5.3,2.1,0.85,0.46,8.0
58.0,0.998,18.0,1.0,0.0,8.5,9.6,1.8,7.4,4.8,2.8,0.7,0.2,7.0
161.0,0.9932,68.0,0.0,1.0,6.8,10.2,0.98,4.8,2.9,3.2,0.69,0.33,7.0
48.0,0.995,15.0,1.0,0.0,7.4,10.0,1.72,14.8,3.1,1.7,0.48,0.07,6.0
99.0,0.9928,14.0,1.0,1.0,6.5,10.1,0.56,3.4,4.0,1.4,0.55,0.33,7.0
98.0,0.9924,21.0,0.0,1.0,7.3,10.0,0.9,4.0,3.3,1.4,0.46,0.44,8.0
10.0,0.9966,6.0,0.0,0.0,10.4,11.8,2.08,7.6,3.1,2.1,0.65,0.46,8.0
114.0,0.9911,48.0,1.0,1.0,6.5,11.5,0.72,2.6,5.3,1.0,0.51,0.37,9.0
60.0,0.9915,9.0,1.0,1.0,7.7,10.6,0.84,5.2,1.3,1.1,0.5,0.4,6.0
33.0,0.9954,15.0,0.0,0.0,6.8,11.3,2.46,12.8,5.6,2.7,0.63,0.0,7.0
138.0,0.992,32.0,1.0,1.0,7.3,11.9,0.76,6.6,2.4,6.85,0.3,0.4,8.0
83.0,0.9898,12.0,0.0,1.0,5.8,11.4,0.58,5.8,4.5,1.1,0.4,0.15,7.0
87.0,0.9936,27.0,1.0,1.0,7.0,11.4,0.56,7.0,5.3,6.5,0.42,0.3,8.0
120.0,0.9894,12.0,1.0,1.0,5.8,14.0,0.5,5.8,5.2,2.6,0.79,0.21,8.0
114.0,0.9879,30.0,1.0,1.0,6.0,13.2,0.66,5.8,2.8,1.4,0.43,0.25,7.0
153.0,0.9966,31.0,1.0,1.0,7.9,9.7,1.16,5.6,4.3,4.9,0.51,0.41,7.0
163.0,0.999,42.0,0.0,1.0,6.6,9.8,1.38,5.0,6.5,14.0,0.47,0.35,6.0
106.0,0.998,34.0,1.0,1.0,6.7,9.2,1.02,2.1,6.4,12.4,0.45,0.32,7.0
56.0,0.992,14.0,1.0,1.0,8.8,10.5,0.72,7.0,1.9,1.0,0.33,0.49,5.0
19.0,0.9943,12.0,0.0,0.0,8.5,11.8,1.5,6.4,3.3,2.3,0.71,0.42,8.0
115.0,0.9947,29.0,1.0,1.0,6.7,10.9,0.78,3.6,3.0,10.2,0.45,0.28,8.0
180.0,0.9961,47.0,0.0,1.0,7.3,8.8,1.12,6.4,2.8,7.2,0.47,0.25,6.0
172.0,0.9971,33.0,0.0,1.0,7.2,9.1,1.4,13.7,2.2,9.5,0.55,0.21,7.0
149.0,0.9937,55.0,1.0,1.0,6.0,10.97,0.96,5.8,2.9,10.8,0.59,0.41,8.0
71.0,0.9891,14.0,0.0,1.0,6.7,13.0,0.64,3.8,4.6,1.0,0.38,0.39,8.0
159.0,0.9962,54.0,0.0,1.0,6.6,9.8,0.8,8.6,3.3,11.9,0.54,0.24,7.0
65.0,0.9967,12.0,0.0,0.0,8.1,9.2,1.54,11.5,4.4,2.1,0.51,0.22,6.0
147.0,0.9884,47.0,0.0,1.0,5.9,12.9,0.62,5.6,2.8,1.4,0.64,0.39,8.0
15.0,1.0008,6.0,1.0,0.0,14.3,8.4,1.5,6.2,1.1,1.8,0.79,0.74,7.0
147.0,0.9938,44.0,1.0,1.0,6.3,10.0,0.96,3.4,2.8,5.7,0.54,0.23,6.0
119.0,0.993,20.0,0.0,1.0,6.9,11.2,0.82,4.4,3.5,5.8,0.55,0.32,7.0
137.0,0.9918,11.0,0.0,1.0,8.3,11.0,1.02,3.8,2.6,1.2,0.46,0.49,7.0
175.0,0.9951,7.0,0.0,1.0,9.0,9.7,1.0,8.6,3.0,1.5,0.45,0.3,5.0
24.0,0.9974,11.0,0.0,0.0,10.2,12.0,1.84,8.8,4.4,4.1,0.99,0.58,8.0
81.0,1.0002,23.0,0.0,0.0,8.7,11.6,1.72,13.8,5.9,3.0,0.74,0.31,7.0
161.0,0.9915,31.0,1.0,1.0,7.5,10.5,0.64,6.0,1.8,1.4,0.42,0.32,6.0
185.0,0.9946,31.0,1.0,1.0,6.3,9.7,0.7,6.8,3.3,4.9,0.49,0.36,6.0
204.0,0.9951,42.5,0.0,1.0,6.6,9.2,1.2,6.4,6.7,1.3,0.51,0.24,6.0
14.0,0.9978,6.0,0.0,0.0,11.6,11.5,2.42,10.6,2.6,3.65,0.74,0.66,8.0
148.0,0.9918,31.0,0.0,1.0,7.3,10.7,1.08,5.6,3.6,1.6,0.47,0.35,6.0
179.0,0.9971,68.0,1.0,1.0,6.3,10.4,0.92,4.2,5.0,13.9,0.5,0.33,7.0
109.0,0.9949,31.0,0.0,1.0,7.2,9.4,0.88,4.0,4.0,4.5,0.36,0.25,6.0
77.0,0.9906,27.0,1.0,1.0,5.6,12.7,0.68,7.8,4.3,4.7,0.36,0.24,6.0
140.0,0.993,29.0,1.0,1.0,6.6,10.4,0.78,5.9,4.9,1.6,0.61,0.24,8.0
179.0,0.9979,58.0,1.0,1.0,7.7,8.8,0.78,5.6,2.8,11.1,0.44,0.63,5.0
150.0,0.9968,29.0,1.0,1.0,6.7,9.1,0.98,8.2,3.9,9.2,0.51,0.34,6.0
49.0,0.9988,13.0,0.0,0.0,11.5,11.0,1.74,11.8,3.6,2.6,0.65,0.59,7.0
113.0,0.9941,29.0,1.0,1.0,6.8,10.9,0.78,3.6,3.0,9.8,0.45,0.28,8.0
96.0,0.9932,25.0,0.0,1.0,6.4,10.3,0.88,3.0,6.4,1.1,0.51,0.31,7.0
240.0,0.9938,40.0,0.0,1.0,6.7,9.3,2.34,12.2,3.0,1.65,0.57,0.21,6.0
194.0,0.9988,71.0,0.0,1.0,6.8,10.2,1.06,4.6,3.6,16.1,0.64,0.39,7.0
14.0,0.9949,9.0,1.0,0.0,7.1,11.5,1.82,11.8,5.4,2.1,0.55,0.0,8.0
85.0,0.9971,26.0,0.0,0.0,8.9,9.7,2.22,6.2,4.2,2.0,0.53,0.57,6.0
45.0,0.9974,21.0,0.0,0.0,7.9,12.1,1.54,10.2,6.0,2.9,0.96,0.25,7.0
73.0,0.9979,52.0,0.0,0.0,9.4,10.2,1.22,4.8,5.8,2.3,0.9,0.33,7.0
151.0,0.9947,39.0,1.0,1.0,6.1,10.6,0.92,3.0,6.8,6.2,0.44,0.29,7.0
36.0,0.9961,14.0,0.0,0.0,10.2,9.3,1.14,4.6,4.0,2.2,0.49,0.37,5.0
166.0,0.9921,20.0,1.0,1.0,6.9,9.8,0.48,6.2,2.6,1.2,0.54,0.32,7.0
149.0,0.9954,45.0,1.0,1.0,6.2,9.3,1.06,4.8,4.0,7.9,0.52,0.22,6.0
133.0,0.9956,63.0,1.0,1.0,6.3,9.1,1.26,3.8,1.1,10.1,0.41,0.33,6.0
136.0,0.9936,14.0,1.0,1.0,7.3,10.2,1.0,6.8,4.1,3.2,0.44,0.21,6.0
99.0,0.9945,26.0,1.0,1.0,5.1,9.2,0.68,5.2,4.0,6.4,0.41,0.34,7.0
113.0,0.9986,41.0,0.0,1.0,5.7,8.9,0.88,4.4,3.9,16.0,0.46,0.2,7.0
124.0,0.9927,26.0,0.0,1.0,6.6,10.1,2.9,7.2,2.9,1.4,0.56,0.47,7.0
152.0,0.9972,36.0,1.0,1.0,5.9,9.5,0.68,5.2,4.3,12.5,0.43,0.21,7.0
159.0,0.992,17.0,1.0,1.0,7.2,11.2,0.82,4.4,4.1,1.4,0.53,0.24,7.0
141.0,0.9962,33.0,1.0,0.0,7.9,9.9,1.6,13.8,4.1,2.1,0.51,0.21,6.0
18.0,0.9986,7.0,0.0,0.0,10.6,9.4,3.04,7.2,2.5,2.2,1.06,0.6,6.0
20.0,0.9957,7.0,0.0,0.0,10.2,11.1,1.42,8.8,3.3,2.0,0.79,0.42,8.0
169.0,0.9927,24.0,1.0,1.0,6.1,9.5,1.0,7.2,3.3,1.1,0.78,0.33,7.0
130.0,0.9986,44.0,0.0,1.0,7.7,10.0,1.0,4.0,3.0,13.9,0.48,0.44,7.0
30.0,0.9976,9.0,1.0,0.0,9.4,12.0,1.58,6.6,3.1,2.8,0.54,0.59,7.0
191.0,1.0,55.0,1.0,1.0,7.3,8.9,1.0,4.4,4.7,15.4,0.59,0.41,7.0
150.0,0.9977,59.0,0.0,1.0,6.2,9.0,1.0,4.2,4.6,13.1,0.46,0.26,6.0
166.0,0.9986,32.0,1.0,1.0,7.6,9.2,1.34,4.6,2.4,15.3,0.44,0.26,5.0
98.0,0.9934,13.0,1.0,1.0,6.2,9.2,0.88,9.4,3.3,1.0,0.46,0.21,6.0
159.0,0.9967,57.0,1.0,1.0,6.3,9.2,0.9,4.0,2.9,10.6,0.54,0.18,6.0
141.0,0.993,28.0,0.0,1.0,7.1,10.0,0.74,4.2,3.7,2.2,0.57,0.32,8.0
99.0,0.9915,24.0,0.0,1.0,6.1,10.9,0.82,3.8,3.6,2.6,0.5,0.37,7.0
174.0,0.995,64.0,1.0,1.0,6.6,10.1,0.82,4.2,2.7,9.9,0.5,0.3,7.0
176.0,0.9943,34.0,1.0,1.0,7.6,9.5,1.12,5.0,2.9,1.3,0.51,0.34,6.0
96.0,0.9923,15.0,0.0,1.0,6.8,10.4,0.88,4.8,4.0,2.0,0.64,0.29,9.0
60.0,0.995,43.0,1.0,0.0,7.5,9.2,1.64,11.8,2.9,1.8,0.42,0.22,6.0
110.0,0.9986,39.0,0.0,1.0,5.7,9.0,0.88,4.4,4.0,16.65,0.48,0.22,7.0
167.0,0.998,39.0,1.0,1.0,6.2,9.2,1.14,5.0,3.3,15.8,0.51,0.44,6.0
137.0,0.9942,39.0,0.0,1.0,6.7,9.5,0.96,8.2,4.0,2.8,0.35,0.01,6.0
17.0,0.9966,9.0,0.0,0.0,6.6,10.8,2.34,14.5,4.9,5.5,0.49,0.09,7.0
116.0,0.9953,35.0,0.0,1.0,6.8,9.4,2.46,6.0,2.7,6.6,0.48,0.24,6.0
87.0,0.9978,12.0,1.0,0.0,7.3,10.5,1.48,9.0,4.7,5.9,0.83,0.36,6.0
183.0,0.998,40.0,1.0,1.0,6.6,9.1,1.04,5.0,2.3,14.4,0.5,0.3,7.0
95.0,0.9916,28.0,0.0,1.0,7.7,13.6,0.6,7.6,1.6,10.8,0.41,0.23,7.0
174.0,0.9991,36.0,0.0,1.0,6.0,9.0,1.02,5.6,3.3,19.3,0.5,0.29,6.0
155.0,0.9962,38.0,0.0,1.0,6.2,9.4,0.72,7.2,4.3,8.9,0.5,0.14,6.0
161.0,0.9946,25.0,1.0,1.0,7.0,10.6,1.02,12.2,5.0,1.7,0.6,0.26,5.0
186.0,0.9975,59.0,1.0,1.0,6.9,9.4,0.66,8.0,2.8,12.9,0.49,0.17,6.0
195.0,0.9987,52.0,1.0,1.0,9.0,10.2,0.96,4.4,4.6,10.4,0.44,0.49,7.0
178.0,0.9955,45.0,1.0,1.0,7.2,9.7,0.92,6.2,3.3,7.2,0.53,0.35,6.0
67.0,0.9974,22.0,0.0,0.0,7.8,9.4,9.28,8.6,3.2,1.9,1.28,0.7,6.0
89.0,0.9959,22.0,0.0,0.0,7.0,9.2,1.94,13.8,4.8,1.8,0.54,0.08,7.0
197.0,0.9974,39.0,1.0,1.0,8.4,9.6,0.96,5.4,3.3,8.7,0.59,0.46,7.0
23.0,0.9976,14.0,1.0,0.0,9.2,11.3,1.66,8.6,4.9,2.3,0.61,0.52,7.0
150.0,0.9922,43.0,0.0,1.0,6.4,11.0,0.68,3.0,5.4,1.8,0.69,0.36,9.0
166.0,0.9934,25.0,0.0,1.0,6.5,11.35,1.02,5.8,4.0,9.15,0.56,0.3,7.0
94.0,0.9912,22.0,1.0,1.0,6.7,11.1,0.44,3.8,4.0,1.0,0.57,0.34,7.0
113.0,0.9986,41.0,1.0,1.0,5.7,8.9,0.88,4.4,3.9,16.0,0.46,0.2,7.0
154.0,0.9934,43.0,1.0,1.0,7.6,11.1,0.94,3.4,5.0,1.6,0.69,0.35,7.0
166.0,0.9957,54.0,1.0,1.0,6.9,10.0,1.14,7.4,4.0,9.5,0.42,0.23,6.0
133.0,0.9992,43.0,1.0,1.0,6.5,8.8,0.76,4.6,4.2,16.3,0.41,0.36,6.0
146.0,0.9963,65.0,0.0,1.0,7.6,9.8,1.06,4.6,3.0,8.6,0.32,0.29,7.0
157.0,0.998,44.0,0.0,1.0,7.4,9.0,0.98,8.8,4.3,11.5,0.44,0.2,6.0
149.0,0.9948,44.0,0.0,1.0,7.5,8.9,3.2,6.0,2.8,1.3,0.42,0.71,6.0
110.0,0.9914,31.0,1.0,1.0,7.0,11.0,0.82,4.8,3.7,1.7,0.53,0.26,7.0
151.0,0.9954,27.0,1.0,1.0,6.7,9.6,1.16,6.6,3.4,6.4,0.44,0.42,6.0
71.0,0.9926,20.0,0.0,1.0,7.1,9.9,0.82,3.6,2.5,1.3,0.74,0.26,7.0
33.0,0.9974,6.0,1.0,0.0,9.9,9.4,1.54,12.6,2.9,2.4,0.57,0.24,6.0
98.0,0.9954,33.0,1.0,1.0,6.0,9.2,0.88,3.4,3.1,9.7,0.36,0.29,7.0
188.0,0.9911,43.0,0.0,1.0,7.2,12.0,0.78,4.0,4.5,2.0,0.41,0.3,7.0
37.0,0.9966,10.0,0.0,0.0,7.9,9.5,2.12,8.6,3.5,1.6,0.91,0.21,6.0
129.0,0.9948,17.0,0.0,1.0,8.0,10.0,0.94,4.8,3.7,1.5,0.54,0.36,7.0
139.0,0.9979,63.0,1.0,1.0,7.9,9.1,0.98,7.2,1.7,12.9,0.45,0.53,6.0
178.0,0.9915,46.0,0.0,1.0,7.2,11.3,0.82,6.0,3.6,1.5,0.56,0.26,7.0
117.0,0.9938,27.0,1.0,1.0,8.0,9.4,1.22,5.0,2.8,1.2,0.34,0.49,6.0
29.0,0.997,12.0,0.0,0.0,10.5,11.7,2.32,8.4,4.0,2.95,0.75,0.66,8.0
45.0,0.9968,12.0,1.0,0.0,7.0,9.4,3.8,11.4,4.6,2.0,0.6,0.0,7.0
157.0,0.9998,35.0,0.0,1.0,6.4,9.1,1.66,4.8,3.5,20.2,0.5,0.25,6.0
88.0,0.9907,12.0,0.0,1.0,5.8,14.0,0.54,7.8,5.1,7.5,0.45,0.47,7.0
15.0,0.9956,8.0,1.0,0.0,6.6,9.4,1.38,10.4,5.3,2.2,0.63,0.04,7.0
11.0,0.9962,4.0,1.0,0.0,7.2,10.9,1.72,14.5,5.3,4.65,0.39,0.05,6.0
178.0,0.9958,56.0,0.0,1.0,7.15,10.2,2.38,3.4,3.3,9.6,0.44,0.24,7.0
91.0,0.9954,6.0,1.0,1.0,6.4,8.4,1.12,7.4,2.6,5.9,0.46,0.12,5.0
20.0,0.9964,12.0,1.0,0.0,6.6,9.9,1.32,17.6,6.3,2.2,0.56,0.04,6.0
19.0,0.998,7.0,0.0,0.0,11.0,10.5,1.08,6.0,4.6,2.1,0.88,0.58,8.0
83.0,0.9902,23.0,0.0,1.0,6.6,12.0,1.0,4.4,3.5,1.4,0.48,0.35,8.0
111.0,0.9927,44.0,1.0,1.0,7.3,12.4,0.56,3.4,3.3,8.2,0.41,0.36,7.0
171.0,0.9981,19.0,0.0,1.0,6.8,9.0,1.24,3.6,2.2,12.8,0.52,0.3,8.0
148.0,0.9912,43.0,0.0,1.0,6.5,11.5,0.8,3.6,4.7,1.6,0.59,0.34,9.0
97.0,0.9922,37.0,0.0,1.0,6.1,10.5,0.62,3.2,5.3,1.1,0.58,0.37,7.0
161.0,0.9941,38.0,0.0,1.0,7.8,11.2,0.84,5.8,4.2,7.0,0.37,0.36,9.0
115.0,0.9958,19.0,0.0,1.0,7.6,8.9,1.16,5.4,3.3,3.8,0.45,0.24,6.0
107.0,0.99,27.0,1.0,1.0,7.0,11.9,0.62,4.8,2.6,1.4,0.39,0.34,7.0
89.0,0.9911,40.0,0.0,1.0,6.6,11.4,0.8,5.0,4.9,1.45,0.4,0.39,8.0
117.0,0.9903,4.0,0.0,1.0,6.2,12.2,0.72,4.7,5.3,1.9,0.44,0.34,6.0
35.0,1.0006,12.0,0.0,0.0,13.2,9.0,1.42,9.2,2.9,2.2,0.56,0.52,7.0
187.0,0.996,53.0,1.0,1.0,7.1,9.7,1.02,5.2,3.4,8.2,0.52,0.19,6.0
115.0,0.9906,42.0,0.0,1.0,6.4,11.3,0.8,5.0,3.6,1.4,0.48,0.33,8.0
120.0,0.9933,23.0,0.0,1.0,7.2,10.3,0.66,6.4,1.6,5.6,0.66,0.24,8.0
93.0,0.9934,20.0,1.0,1.0,5.7,9.9,1.0,6.6,5.1,1.9,0.62,0.15,6.0
117.0,0.9936,32.0,1.0,1.0,7.0,11.5,0.78,4.4,2.6,10.6,0.55,0.28,8.0
155.0,0.9974,54.0,1.0,1.0,7.1,8.7,0.9,8.6,3.0,11.8,0.45,0.61,6.0
87.0,0.9904,24.0,0.0,1.0,7.3,12.0,0.96,4.0,1.7,2.3,0.35,0.39,7.0
125.0,0.9957,19.0,0.0,1.0,6.1,10.2,0.62,11.0,5.0,9.8,0.47,0.15,7.0
146.0,0.9907,63.0,0.0,1.0,6.3,11.2,0.86,2.6,3.2,1.1,0.72,0.42,8.0
31.0,0.9963,21.0,0.0,0.0,6.6,10.3,2.3,13.2,5.7,3.0,0.63,0.0,6.0
171.0,0.9948,43.5,0.0,1.0,8.6,12.0,0.6,7.2,2.4,11.1,0.49,0.26,6.0
209.0,0.9954,62.0,1.0,1.0,6.3,9.5,0.9,5.2,3.7,7.1,0.53,0.42,7.0
143.0,0.9983,68.0,0.0,1.0,7.6,9.2,1.12,4.4,2.1,12.0,0.3,0.28,7.0
22.0,0.9998,5.0,0.0,0.0,10.4,11.2,1.68,6.6,4.2,2.8,0.74,0.63,8.0
125.0,0.9953,61.0,0.0,1.0,6.1,10.2,0.84,5.4,3.3,9.8,0.42,0.28,7.0
153.0,0.9978,56.0,1.0,1.0,7.7,8.9,0.72,6.4,3.2,10.6,0.44,0.62,7.0
120.0,0.9919,12.0,0.0,1.0,7.2,10.4,1.22,5.2,3.6,1.5,0.46,0.38,6.0
54.0,0.9972,13.0,1.0,0.0,8.3,10.1,1.86,17.0,5.0,2.5,0.54,0.14,6.0
99.0,0.995,25.0,0.0,0.0,7.5,10.1,1.9,12.0,4.9,1.8,0.54,0.03,6.0
172.0,0.9932,49.0,0.0,1.0,6.9,11.5,0.72,3.8,3.7,6.6,0.27,0.49,7.0
100.0,0.9911,31.0,1.0,1.0,8.2,12.8,0.6,8.4,2.2,4.1,0.32,0.29,8.0
89.0,0.9904,29.0,1.0,1.0,6.6,12.4,0.4,6.6,4.2,1.3,0.44,0.31,9.0
108.0,0.9929,7.0,1.0,1.0,5.8,9.55,1.16,5.6,4.0,1.2,0.58,0.18,5.0
124.0,0.997,45.0,0.0,1.0,7.1,9.5,0.84,4.0,1.6,11.6,0.59,0.36,8.0
151.0,0.9973,52.0,0.0,1.0,7.6,10.4,0.66,3.8,3.6,13.1,0.79,0.37,7.0
150.0,0.9955,60.0,0.0,1.0,6.7,9.4,1.12,2.6,1.9,6.6,0.43,0.57,7.0
122.0,0.9924,21.0,0.0,1.0,6.4,9.5,1.24,5.0,2.2,1.0,0.4,0.57,6.0
210.0,0.9931,40.5,0.0,1.0,6.6,10.0,1.02,6.8,3.3,2.6,0.61,0.34,6.0
54.0,0.9956,28.0,1.0,0.0,7.1,10.4,1.54,9.2,5.0,1.9,0.64,0.2,7.0
88.0,0.9916,18.0,0.0,0.0,5.1,13.6,0.88,8.4,7.4,1.8,0.73,0.0,8.0
162.0,0.9966,34.0,0.0,1.0,7.8,11.3,1.2,8.0,4.2,7.8,0.58,0.49,7.0
168.0,0.9982,33.0,0.0,1.0,7.4,8.7,1.12,3.2,1.4,13.7,0.44,0.3,8.0
136.0,0.9972,20.0,1.0,0.0,8.6,9.9,2.2,9.8,1.6,1.9,1.95,0.28,7.0
138.0,0.995,17.0,1.0,1.0,8.2,10.8,0.94,13.6,3.9,2.1,0.71,0.3,5.0
160.0,0.9944,32.0,1.0,1.0,7.6,10.7,0.84,5.8,3.3,6.5,0.47,0.26,6.0
163.0,0.9952,29.0,0.0,1.0,7.7,10.5,0.82,5.6,5.6,6.9,0.6,0.29,7.0
110.0,0.9898,24.0,0.0,1.0,6.1,12.5,0.68,5.4,5.0,1.1,0.4,0.32,7.0
42.0,0.9956,17.0,0.0,0.0,7.3,9.0,1.44,11.0,5.0,1.6,0.48,0.03,5.0
110.0,0.9898,24.0,1.0,1.0,6.1,12.5,0.68,5.4,5.0,1.1,0.4,0.32,7.0
8.0,0.9982,3.0,1.0,0.0,8.6,11.0,1.6,7.4,4.3,6.4,0.58,0.65,6.0
97.0,0.997,23.0,0.0,1.0,6.8,9.6,1.88,9.0,2.9,11.8,0.44,0.3,6.0
19.0,0.995,3.0,1.0,0.0,7.8,9.8,1.54,10.6,3.4,1.6,0.46,0.01,6.0
85.0,0.9942,13.0,0.0,1.0,6.9,9.5,1.14,5.0,2.1,3.6,0.48,0.24,5.0
114.0,0.9963,41.0,1.0,1.0,7.7,11.0,0.8,2.2,2.7,14.05,0.59,0.34,8.0
110.0,0.9914,21.0,0.0,1.0,5.8,11.0,0.88,4.6,4.5,1.5,0.57,0.21,7.0
160.0,0.9926,60.0,1.0,1.0,7.1,11.8,1.14,8.8,3.4,8.4,0.36,0.27,7.0
167.0,1.001,48.0,1.0,1.0,6.8,8.7,0.96,5.6,1.6,22.0,0.5,0.4,6.0
24.0,0.9944,15.0,0.0,0.0,6.8,11.2,1.48,11.2,5.3,1.8,0.82,0.22,7.0
35.0,0.9961,7.0,0.0,0.0,7.3,9.5,1.6,7.6,4.7,2.0,0.47,0.21,6.0
95.0,1.0037,55.0,0.0,0.0,10.2,9.0,4.28,10.8,3.6,15.4,0.77,0.37,7.0
100.0,0.9907,26.0,0.0,1.0,8.1,12.4,0.9,5.4,2.0,1.3,0.44,0.33,7.0
135.0,0.9958,25.0,1.0,1.0,6.6,10.3,0.68,4.8,4.7,8.6,0.59,0.24,7.0
106.0,0.9927,19.0,1.0,0.0,5.2,12.2,1.08,9.6,6.4,1.6,0.62,0.04,8.0
11.0,0.9938,3.0,1.0,0.0,5.6,12.8,1.74,13.2,7.7,2.2,0.63,0.0,8.0
149.0,0.9954,45.0,1.0,1.0,6.2,9.3,1.06,4.8,4.0,7.9,0.52,0.22,6.0
61.0,0.9965,27.0,0.0,0.0,7.9,10.7,1.74,10.9,5.0,4.0,0.67,0.06,7.0
182.0,0.9995,28.0,1.0,1.0,6.2,9.3,1.02,7.0,3.2,18.4,0.62,0.25,7.0
255.0,1.0,45.0,0.0,1.0,7.2,8.9,1.04,5.4,2.5,18.75,0.52,0.46,6.0
99.0,0.9916,23.0,1.0,1.0,5.8,10.5,0.72,6.2,3.6,1.2,0.6,0.33,7.0
58.0,0.9918,23.0,0.0,1.0,8.5,10.5,0.52,3.8,1.4,1.1,0.5,0.48,7.0
153.0,0.9942,48.0,1.0,1.0,8.3,9.4,0.98,3.4,3.1,1.5,0.58,0.31,7.0
